name,set_name,card_number,rarity,product_line,card_type,hp,stage,type_hp_stage,card_text,attack1,attack2,attack3,attack4,weakness,resistance,retreat_cost,regulation_mark,standard_legal,image_file,quantity,category,source_url
Charmander,SV: Paldean Fates,007/091,Common,Pokemon,Fire,70,Basic,Fire / 70 / Basic,,[R] Blazing Destruction - Discard a Stadium in play.,[RR] Steady Firebreathing (30),,,Water ×2,,1,G,no,534142_charmander-007-091.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-paldean-fates/charmander-007-091
Charmeleon,SV: Paldean Fates,008/091,Uncommon,Pokemon,Fire,90,Stage 1,Fire / 90 / Stage 1,Flare Veil - Prevent all effects of attacks used by your opponent's Pokémon done to this Pokémon. (Damage is not an effect.),[RR] Combustion (50),,,,Water ×2,,2,G,no,534143_charmeleon-008-091.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-paldean-fates/charmeleon-008-091
Gastly,SV: Paldean Fates,055/091,Common,Pokemon,Darkness,50,Basic,Darkness / 50 / Basic,,[C] Allure - Draw a card.,[DC] Will-O-Wisp (20),,,Fighting ×2,,1,G,no,534417_gastly.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-paldean-fates/gastly
Haunter,SV: Paldean Fates,056/091,Common,Pokemon,Darkness,80,Stage 1,Darkness / 80 / Stage 1,,[DC] Dark Slumber (40) - Your opponent's Active Pokémon is now Asleep.,,,,Fighting ×2,,1,G,no,534418_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-paldean-fates/haunter
Iono,SV: Paldean Fates,080/091,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Each player shuffles their hand and puts it on the bottom of their deck. Then, each player draws a card for each of their remaining Prize cards. You may play only 1 Supporter card during your turn.",,,,,,,,G,no,534442_iono-080-091.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-paldean-fates/iono-080-091
Buddy-Buddy Poffin,SV: Prismatic Evolutions,101/131,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Search your deck for up to 2 Basic Pokémon with 70 HP or less and put them onto your Bench. Then, shuffle your deck.",,,,,,,,H,yes,610456_buddy-buddy-poffin.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/buddy-buddy-poffin
Dusknoir,SV: Prismatic Evolutions,037/131,Rare,Pokemon,Psychic,160,Stage 2,Psychic / 160 / Stage 2,"Cursed Blast - Once during your turn, you may put 13 damage counters on 1 of your opponent's Pokémon. If you use this Ability, this Pokémon is Knocked Out.","[PPC] Shadow Bind (150) - During your opponent's next turn, the Defending Pokémon can't retreat.",,,,Darkness ×2,Fighting -30,3,H,yes,610392_dusknoir.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/dusknoir
Eevee (Poké Ball Pattern),SV: Prismatic Evolutions,074/131,Common,Pokemon,Colorless,50,Basic,Colorless / 50 / Basic,"Boosted Evolution - As long as this Pokémon is in the Active Spot, it can evolve during your first turn or the turn you play it.",[CC] Reckless Charge (30) - This Pokémon also does 10 damage to itself.,,,,Fighting ×2,,1,H,yes,610590_eevee-poke-ball-pattern.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/eevee-poke-ball-pattern
Eevee ex,SV: Prismatic Evolutions,075/131,Double Rare,Pokemon,Colorless,200,Basic,Colorless / 200 / Basic,"Rainbow DNA - This Pokémon can evolve into any Pokémon ex that evolves from Eevee if you play it from your hand onto this Pokémon. (This Pokémon can't evolve during your first turn or the turn you play it.) Tera - As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's).",[RWL] Coruscating Quartz (200),,,,Fighting ×2,,1,H,yes,610430_eevee-ex-075-131.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/eevee-ex-075-131
Espeon ex,SV: Prismatic Evolutions,034/131,Double Rare,Pokemon,Psychic,270,Stage 1,Psychic / 270 / Stage 1,,[PCC] Psych Out (160) - Discard a random card from your opponent's hand.,[GPD] Amazez - Devolve each of your opponent's evolved Pokémon by shuffling the highest Stage Evolution card on it into your opponent's deck.,,,Darkness ×2,Fighting -30,1,H,yes,610389_espeon-ex-034-131.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/espeon-ex-034-131
Flareon ex,SV: Prismatic Evolutions,014/131,Double Rare,Pokemon,Fire,270,Stage 1,Fire / 270 / Stage 1,"Tera - As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's).","[RC] Burning Charge (130) - Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck.","[RWL] Carnelian (280) - During your next turn, this Pokémon can't attack.",,,Water ×2,,2,H,yes,610369_flareon-ex-014-131.jpg,4,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/flareon-ex-014-131
Glaceon,SV: Prismatic Evolutions,025/131,Rare,Pokemon,Water,120,Stage 1,Water / 120 / Stage 1,,"[W] Permeating Chill (30) - At the end of your opponent's next turn, put 9 damage counters on the Defending Pokémon.",[WC] Icicle Missile (70),,,Metal ×2,,1,H,yes,610380_glaceon.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/glaceon
Glaceon ex,SV: Prismatic Evolutions,026/131,Double Rare,Pokemon,Water,270,Stage 1,Water / 270 / Stage 1,,[WC] Frost Bullet (110) - This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),[GWD] Euclase - Knock Out 1 of your opponent's Pokémon that has exactly 6 damage counters on it.,,,Metal ×2,,1,H,yes,610381_glaceon-ex-026-131.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/glaceon-ex-026-131
Leafeon ex,SV: Prismatic Evolutions,006/131,Double Rare,Pokemon,Grass,270,Stage 1,Grass / 270 / Stage 1,,[GC] Verdant Storm (60x) - This attack does 60 damage for each Energy attached to all of your opponent's Pokémon.,[GRW] Moss Agate (230) - Heal 100 damage from each of your Benched Pokémon.,,,Fire ×2,,2,H,yes,610361_leafeon-ex-006-131.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/leafeon-ex-006-131
Prime Catcher,SV: Prismatic Evolutions,119/131,ACE SPEC Rare,Pokemon,Trainer - Item,,,Trainer - Item,"Switch in 1 of your opponent's Benched Pokémon to the Active Spot. If you do, switch your Active Pokémon with 1 of your Benched Pokémon.",,,,,,,,H,yes,610474_prime-catcher.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/prime-catcher
Umbreon ex,SV: Prismatic Evolutions,060/131,Double Rare,Pokemon,Darkness,280,Stage 1,Darkness / 280 / Stage 1,,[DCC] Moon Mirage (160) - Your opponent's Active Pokémon is now Confused.,"[LPD] Onyx - Discard all Energy from this Pokémon, and take a Prize card.",,,Grass ×2,,2,H,yes,610415_umbreon-ex-060-131.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-prismatic-evolutions/umbreon-ex-060-131
Charmeleon,SV: Scarlet & Violet 151,005/165,Uncommon,Pokemon,Fire,100,Stage 1,Fire / 100 / Stage 1,,[R] Combustion (20),[RRR] Fire Blast (90) - Discard an Energy from this Pokémon,,,Water ×2,,2,G,no,502557_charmeleon-005-165.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-scarlet-and-violet-151/charmeleon-005-165
Gastly,SV: Scarlet & Violet 151,092/165,Common,Pokemon,Psychic,50,Basic,Psychic / 50 / Basic,,[P] Suffocating Gas (20),,,,Darkness ×2,Fighting -30,1,G,no,516661_gastly.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-scarlet-and-violet-151/gastly
Haunter,SV: Scarlet & Violet 151,093/165,Uncommon,Pokemon,Psychic,80,Stage 1,Psychic / 80 / Stage 1,"Spirit Return - When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put a Supporter card from your opponent's discard pile into their hand.",[CP] Mumble (30),,,,Darkness ×2,Fighting -30,1,G,no,516662_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-scarlet-and-violet-151/haunter
Weezing,SV: Scarlet & Violet 151,110/165,Rare,Pokemon,Darkness,110,Stage 1,Darkness / 110 / Stage 1,"Let's Have a Blast - If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, flip a coin. If heads, the Attacking Pokémon is Knocked Out.",[CC] Spinning Fumes (50) - This attack also does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),,,,Fighting ×2,,2,G,no,516680_weezing.jpg,1,collection,https://store.tcgplayer.com/pokemon/sv-scarlet-and-violet-151/weezing
Dusclops,SV: Shrouded Fable,019/064,Common,Pokemon,Psychic,90,Stage 1,Psychic / 90 / Stage 1,"Cursed Blast - Once during your turn, you may put 5 damage counters on 1 of your opponent's Pokémon. If you use this Ability, this Pokémon is Knocked Out.",[PP] Will-O-Wisp (50),,,,Darkness ×2,Fighting -30,2,H,yes,560329_dusclops-019-064.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/dusclops-019-064
Dusknoir,SV: Shrouded Fable,020/064,Rare,Pokemon,Psychic,160,Stage 2,Psychic / 160 / Stage 2,"Cursed Blast - Once during your turn, you may put 13 damage counters on 1 of your opponent's Pokémon. If you use this Ability, this Pokémon is Knocked Out.","[PPC] Shadow Bind (150) - During your opponent's next turn, the Defending Pokémon can't retreat.",,,,Darkness ×2,Fighting -30,3,H,yes,560330_dusknoir-020-064.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/dusknoir-020-064
Duskull,SV: Shrouded Fable,018/064,Common,Pokemon,Psychic,60,Basic,Psychic / 60 / Basic,,[P] Come and Get You - Put up to 3 Duskull from your discard pile onto your Bench.,[PP] Mumble (30),,,Darkness ×2,Fighting -30,1,H,yes,560328_duskull-018-064.jpg,6,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/duskull-018-064
Eevee,SV: Shrouded Fable,050/064,Common,Pokemon,Colorless,70,Basic,Colorless / 70 / Basic,,"[C] Colorful Catch - Search your deck for up to 3 Basic Energy cards of different types, reveal them, and put them into your hand. Then, shuffle your deck.",[CC] Headbutt (20),,,Fighting ×2,,1,H,yes,560361_eevee.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/eevee
Fezandipiti ex,SV: Shrouded Fable,038/064,Double Rare,Pokemon,Darkness,210,Basic,Darkness / 210 / Basic,"Flip the Script - Once during your turn, if any of your Pokémon were Knocked Out during your opponent's last turn, you may draw 3 cards. You can't use more than 1 Flip the Script Ability each turn.",[CCC] Cruel Arrow - This attack does 100 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),,,,Fighting ×2,,1,H,yes,560348_fezandipiti-ex-038-064.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/fezandipiti-ex-038-064
Janine's Secret Art,SV: Shrouded Fable,059/064,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Choose up to 2 of your Darkness Pokémon. For each of those Pokémon, search your deck for a Basic Darkness Energy card and attach it to that Pokémon. Then, shuffle your deck. If you attached Energy to your Active Pokémon in this way, it is now Poisoned.",,,,,,,,H,yes,560370_janines-secret-art-059-064.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/janines-secret-art-059-064
Pecharunt ex,SV: Shrouded Fable,039/064,Double Rare,Pokemon,Darkness,190,Basic,Darkness / 190 / Basic,"Subjugating Chains - Once during your turn, you may switch 1 of your Benched Darkness Pokémon, except any Pecharunt ex, with your Active Pokémon. If you do, the new Active Pokémon is now Poisoned. You can't use more than 1 Subjugating Chains Ability each turn.",[DD] Irritated Outburst (60x) - This attack does 60 damage for each Prize card your opponent has taken.,,,,Fighting ×2,,1,H,yes,560349_pecharunt-ex-039-064.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/pecharunt-ex-039-064
Xerosic's Machinations,SV: Shrouded Fable,064/064,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Your opponent discards cards from their hand until they have 3 cards in their hand.,,,,,,,,H,yes,560375_xerosics-machinations-064-064.jpg,0,collection,https://store.tcgplayer.com/pokemon/sv-shrouded-fable/xerosics-machinations-064-064
Chandelure,SV: White Flare,018/086,Rare,Pokemon,Fire,150,Stage 2,Fire / 150 / Stage 2,,"[R] Incendiary Pillar (50+) - If you have 10 or more Basic Fire Energy cards in your discard pile, this attack does 100 more damage.",[RR] Burn It All Up (180) - Discard all Energy from this Pokémon.,,,Water ×2,,2,I,yes,642466_chandelure.jpg,5,collection,https://store.tcgplayer.com/pokemon/sv-white-flare/chandelure
Hilda,SV: White Flare,084/086,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Search your deck for an Evolution Pokémon and an Energy card, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,,I,yes,642200_hilda.jpg,7,collection,https://store.tcgplayer.com/pokemon/sv-white-flare/hilda
Litwick,SV: White Flare,016/086,Common,Pokemon,Fire,60,Basic,Fire / 60 / Basic,,[R] Brighten and Burn - Look at the top card of your deck. You may discard that card.,,,,Water ×2,,1,I,yes,642464_litwick.jpg,2,collection,https://store.tcgplayer.com/pokemon/sv-white-flare/litwick
Bede,SWSH01: Sword & Shield Base Set,157/202,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Choose a Basic Energy card from your hand and attach it to 1 of your Benched Pokémon.,,,,,,,,D,no,208481_bede.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/bede
Gengar,SWSH01: Sword & Shield Base Set,085/202,Holo Rare,Pokemon,Psychic,110,Stage 2,Psychic / 110 / Stage 2,"Life Shaker - As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Psychic Pokémon to another of your Psychic Pokémon.",[CPP] Hypnoblast (90) - Your opponent's Active Pokémon is now Asleep.,,,,Darkness ×2,Fighting -30,2,D,no,208393_gengar.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/gengar
Great Ball,SWSH01: Sword & Shield Base Set,164/202,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,"Look at the top 7 cards of your deck. Choose a Pokémon you find there, reveal it, and put it into your hand. Shuffle the other cards back into your deck.",,,,,,,,D,no,208490_great-ball.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/great-ball
Haunter,SWSH01: Sword & Shield Base Set,084/202,Uncommon,Pokemon,Psychic,70,Stage 1,Psychic / 70 / Stage 1,,[C] Nightmare (20) - Your opponent's Active Pokémon is now Asleep.,[CP] Spooky Shot (40),,,Darkness ×2,Fighting -30,1,D,no,208390_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/haunter
Hop,SWSH01: Sword & Shield Base Set,165/202,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Draw 3 cards.,,,,,,,,D,no,208491_hop.jpg,4,collection,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/hop
Professor's Research [Professor Magnolia],SWSH01: Sword & Shield Base Set,178/202,Holo Rare,Pokemon,Trainer - Supporter,,,Trainer - Supporter,Discard your hand and draw 7 cards.,,,,,,,,D,no,208508_professors-research-professor-magnolia.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/professors-research-professor-magnolia
Switch,SWSH01: Sword & Shield Base Set,183/202,Uncommon,Pokemon,Trainer - Item,,,Trainer - Item,Switch your Active Pokémon with 1 of your Benched Pokémon.,,,,,,,,D,no,208516_switch.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh01-sword-and-shield-base-set/switch
Dan,SWSH02: Rebel Clash,158/192,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Draw 2 cards. You and your opponent play Rock-Paper-Scissors until someone wins. If you win, draw 2 more cards.",,,,,,,,,no,213261_dan.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh02-rebel-clash/dan
Sonia,SWSH02: Rebel Clash,167/192,Uncommon,Pokemon,Trainer - Supporter,,,Trainer - Supporter,"Search your deck for up to 2 Basic Pokémon or up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,,,no,213275_sonia.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh02-rebel-clash/sonia
Lugia,SWSH03: Darkness Ablaze,140/189,Rare,Pokemon,Colorless,130,Basic,Colorless / 130 / Basic,,[C] Gust (30),[CCC] Energy Loop (120) - Put an Energy attached to this Pokémon into your hand.,,,Lightning ×2,Fighting -30,2,,no,219340_lugia.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh03-darkness-ablaze/lugia
Magcargo,SWSH04: Vivid Voltage,028/185,Uncommon,Pokemon,Fire,130,Stage 1,Fire / 130 / Stage 1,,[CCR] Heat Blast (60),[CCRR] Bright Flame (180) - Discard 2 Fire Energy from this Pokémon.,,,Water ×2,,3,D,no,226399_magcargo.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/magcargo
Slugma,SWSH04: Vivid Voltage,027/185,Common,Pokemon,Fire,70,Basic,Fire / 70 / Basic,,[C] Yawn - Your opponent's Active Pokémon is now Asleep.,[CCR] Flare (30),,,Water ×2,,2,D,no,226398_slugma.jpg,3,collection,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/slugma
Yanma,SWSH04: Vivid Voltage,006/185,Common,Pokemon,Grass,80,Basic,Grass / 80 / Basic,,[C] U-turn (10) - Switch this Pokémon with 1 of your Benched Pokémon.,[CCC] Cutting Wind (60),,,Fire ×2,,1,D,no,226366_yanma.jpg,3,collection,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/yanma
Yanmega,SWSH04: Vivid Voltage,007/185,Rare,Pokemon,Grass,130,Stage 1,Grass / 130 / Stage 1,,[CC] U-turn (50) - Switch this Pokémon with 1 of your Benched Pokémon.,[CCCC] Cutting Wind (130),,,Fire ×2,,0,D,no,226368_yanmega.jpg,2,collection,https://store.tcgplayer.com/pokemon/swsh04-vivid-voltage/yanmega
Galarian Weezing,SWSH06: Chilling Reign,096/198,Rare,Pokemon,Darkness,130,Stage 1,Darkness / 130 / Stage 1,"Energy Factory - Each basic Darkness Energy attached to your Pokémon that have ""Weezing"" in their name provide Darkness Darkness Energy. You can't apply more than 1 Energy Factory Ability at a time.",[CD] Suffocating Gas (50),,,,Fighting ×2,,2,E,no,241765_galarian-weezing.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh06-chilling-reign/galarian-weezing
Koffing,SWSH06: Chilling Reign,094/198,Common,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,,[CD] Smog (20) - Your opponent's Active Pokémon is now Poisoned.,,,,Fighting ×2,,1,E,no,241763_koffing.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh06-chilling-reign/koffing
Old Cemetery,SWSH06: Chilling Reign,147/198,Uncommon,Pokemon,Trainer - Stadium,,,Trainer - Stadium,"Whenever a player attaches an Energy card from their hand to 1 of their non-Psychic Pokémon, put 2 damage counters on that Pokémon.",,,,,,,,E,no,241850_old-cemetery.jpg,3,collection,https://store.tcgplayer.com/pokemon/swsh06-chilling-reign/old-cemetery
Spiritomb,SWSH06: Chilling Reign,103/198,Rare,Pokemon,Darkness,70,Basic,Darkness / 70 / Basic,,"[C] Ghostly Cries - For each Pokémon in your opponent's discard pile, put 1 damage counter on your opponent's Pokémon in any way you like. If you placed any damage counters in this way, your opponent shuffles all Pokémon from their discard pile into their deck.",[D] Will-O-Wisp (20),,,Grass ×2,,1,E,no,241777_spiritomb.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh06-chilling-reign/spiritomb
Flareon VMAX,SWSH07: Evolving Skies,018/203,Ultra Rare,Pokemon,Fire,320,VMAX,Fire / 320 / VMAX,,[CCR] Max Detonate (100x) - Discard the top 5 cards of your deck. This attack does 100 damage for each Energy card you discarded in this way.,,,,Water ×2,,2,E,no,246712_flareon-vmax.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh07-evolving-skies/flareon-vmax
Gengar V,SWSH08: Fusion Strike,156/264,Ultra Rare,Pokemon,Darkness,210,Basic,Darkness / 210 / Basic,,[DD] Dark Slumber (40) - Your opponent's Active Pokémon is now Asleep.,[DDD] Pain Explosion (190) - Put 3 damage counters on this Pokémon.,,,Fighting ×2,,2,E,no,253370_gengar-v.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh08-fusion-strike/gengar-v
Mew V,SWSH08: Fusion Strike,113/264,Ultra Rare,Pokemon,Psychic,180,Basic,Psychic / 180 / Basic,,"[P] Energy Mix - Search your deck for an Energy card and attach it to 1 of your Fusion Strike Pokémon. Then, shuffle your deck.",[CP] Psychic Leap (70) - You may shuffle this Pokémon and all attached cards into your deck.,,,Darkness ×2,Fighting -30,0,E,no,253274_mew-v.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh08-fusion-strike/mew-v
Litwick,SWSH11: Lost Origin,024/196,Common,Pokemon,Fire,60,Basic,Fire / 60 / Basic,,[R] Kindling Panic - Discard the top card of your opponent's deck.,,,,Water ×2,,1,,no,283895_litwick.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh11-lost-origin/litwick
Eevee V,SWSH: Sword & Shield Promo Cards,SWSH065,Promo,Pokemon,Colorless,190,Basic,Colorless / 190 / Basic,,[C] Collect - Draw 3 cards.,"[CCC] Brave Buddies (80+) - If you played a Supporter card from your hand during this turn, this attack does 80 more damage.",,,Fighting ×2,,1,D,no,220317_eevee-v-swsh065.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh-sword-and-shield-promo-cards/eevee-v-swsh065
Flareon V,SWSH: Sword & Shield Promo Cards,SWSH149,Promo,Pokemon,Fire,210,Basic,Fire / 210 / Basic,,"[C] Flaming Breath (20) - Search your deck for a R Energy card and attach it to this Pokémon. Then, shuffle your deck.",[CRR] Scorching Column (120) - Your opponent's Active Pokémon is now Burned.,,,Water ×2,,2,E,no,247295_flareon-v-swsh149.jpg,1,collection,https://store.tcgplayer.com/pokemon/swsh-sword-and-shield-promo-cards/flareon-v-swsh149
Galarian Weezing,Shining Fates,042/072,Holo Rare,Pokemon,Darkness,130,Stage 1,Darkness / 130 / Stage 1,"Neutralizing Gas - As long as this Pokémon is in the Active Spot, your opponent's Pokémon in play have no Abilities, except for Neutralizing Gas.",[D] Severe Poison - Your opponent's Active Pokémon is now Poisoned. Put 4 damage counters instead of 1 on that Pokémon during Pokémon Checkup.,,,,Fighting ×2,,3,D,no,232505_galarian-weezing.jpg,1,collection,https://store.tcgplayer.com/pokemon/shining-fates/galarian-weezing
Chandelure,Trick or Trade BOOster Bundle,033/192,Promo,Pokemon,Fire,140,Stage 2,Fire / 140 / Stage 2,Protective Glow - All of your Pokémon that have Energy attached have no Weakness.,[CR] Mirage Flare (110) - Your opponent's Active Pokémon is now Confused.,,,,Water ×2,,2,,no,283790_chandelure.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle/chandelure
Gastly,Trick or Trade BOOster Bundle,055/198,Promo,Pokemon,Psychic,50,Basic,Psychic / 50 / Basic,,"[P] Sleep Pulse (10) - Flip a coin. If heads, your opponent's Active Pokémon is now Asleep.",,,,Darkness ×2,Fighting -30,1,,no,283811_gastly.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle/gastly
Gengar (2021 Copyright Date),Trick or Trade BOOster Bundle,057/198,Promo,Pokemon,Psychic,130,Stage 2,Psychic / 130 / Stage 2,"Last Gift - If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.",[CCC] Pain Burst (10+) - This attack does 40 more damage for each damage counter on your opponent's Active Pokémon.,,,,Darkness ×2,Fighting -30,1,,no,283766_gengar-2021-copyright-date.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle/gengar-2021-copyright-date
Gourgeist,Trick or Trade BOOster Bundle,077/203,Promo,Pokemon,Psychic,120,Stage 1,Psychic / 120 / Stage 1,,"[CC] Pandemonium (60x) - Reveal the top 6 cards of your deck. This attack does 60 damage for each Psychic Pokémon you find there. Then, shuffle those Pokémon back into your deck and discard the other cards.",,,,Darkness ×2,Fighting -30,2,,no,283795_gourgeist.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle/gourgeist
Haunter,Trick or Trade BOOster Bundle,056/198,Promo,Pokemon,Psychic,80,Stage 1,Psychic / 80 / Stage 1,,[P] Will-O-Wisp (30),,,,Darkness ×2,Fighting -30,1,,no,283812_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle/haunter
Litwick,Trick or Trade BOOster Bundle,031/192,Promo,Pokemon,Fire,60,Basic,Fire / 60 / Basic,,[R] Scorch - Your opponent's Active Pokémon is now Burned.,,,,Water ×2,,1,,no,283824_litwick.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle/litwick
Gastly,Trick or Trade BOOster Bundle 2023,064/196,Common,Pokemon,Psychic,40,Basic,Psychic / 40 / Basic,,[P] Furtive Drop - Put 1 damage counter on your opponent's Active Pokémon.,,,,Darkness ×2,Fighting -30,,,no,515659_gastly.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2023/gastly
Gengar (2022 Copyright Date),Trick or Trade BOOster Bundle 2023,066/196,Holo Rare,Pokemon,Psychic,120,Stage 2,Psychic / 120 / Stage 2,"Netherworld Gate - Once during your turn, if this Pokémon is in your discard pile, you may put it onto your Bench. If you do, put 3 damage counters on this Pokémon.",[P] Screaming Circle - Put 2 damage counters on your opponent's Active Pokémon for each of your opponent's Benched Pokémon.,,,,Darkness ×2,Fighting -30,2,,no,515661_gengar-2022-copyright-date.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2023/gengar-2022-copyright-date
Haunter,Trick or Trade BOOster Bundle 2023,065/196,Uncommon,Pokemon,Psychic,70,Stage 1,Psychic / 70 / Stage 1,,[P] Cursed Drop - Put 3 damage counters on your opponent's Pokémon in any way you like.,,,,Darkness ×2,Fighting -30,1,,no,515660_haunter.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2023/haunter
Houndoom,Trick or Trade BOOster Bundle 2023,034/198,Common,Pokemon,Fire,120,Stage 1,Fire / 120 / Stage 1,,[C] Sharp Fang (30),[CRR] Fire Blast (150) - Discard a [R] Energy attached to this Pokémon.,,,Water ×2,,2,,no,515650_houndoom.jpg,1,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2023/houndoom
Trevenant,Trick or Trade BOOster Bundle 2023,017/196,Holo Rare,Pokemon,Grass,120,Stage 1,Grass / 120 / Stage 1,"Elder Tree Barrier - If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon V, your opponent can't take any Prize cards for it.","[CGG] Giga Impact (150) - During your next turn, this Pokémon can't attack.",,,,Fire ×2,,3,,no,515648_trevenant.jpg,2,collection,https://store.tcgplayer.com/pokemon/trick-or-trade-booster-bundle-2023/trevenant
